full_text;username;;Hasil
Performa permainan Timnas ini di Sea Games kali ini sangat baik dari segi attack, passing, defense, clearence, dan juga mentalitas 💪🏻👊🏻;erwinyokoyama;;Puas
Alhamdulillah Ya Allah. Masya Allah Tabarakallah. Semoga setelah ini Timnas Bola Indonesia bisa menaikkan performa lagi dan nggk diremehin lawan.\n#TimnasDay https://t.co/NnF5vQsYTA;Yeowo6;;Puas
Di tangan Indra Sjafri, timnas Indonesia berhasil bawa pulang emas lagi setelah 32 tahun lamanya.\n\nDengan sederet prestasi lainnya, gimana menurutmu performa Indra Sjafri sebagai pelatih sejauh ini, nih?\n https://t.co/VaNRRTWoxu;NarasiNewsroom;;Puas
@ID_Albiceleste @Indostransfer betul sih, performa squad timnas u23 sea games ini bisa spektakuler ya karena salah satu faktornya  diberi kesempatan reguler di klub;DarmantoDiky;;Puas
Mantap Timnas, patut di acungi jempol, tapi Thailand bukan lawan yg bisa diremehkan, semoga performa timnas makin baik kedepannya 😇;yourdreamteller;;Puas
@pahlevinho Tapi performa timnas thailand dan vietnam gak segarang biasanya ya bang?;Yananfield;;Puas
#TimnasDapatEmas setelah Penantian 32 tahun,di bawah \nkepemimpinan ketum PSSI @erickthohir , talenta terbaik timnas sepak bola Indonesia berhasil mencatatkan sejarah dengan menunjukan performa apik dalam pergelaran SEA Games 2023\n#GueBarengErickThohir https://t.co/c8sD3HliiV;abi_sasaLL;;Puas
@PSSI Mhn kepada PSSI..\nAgar tetap menbina Timnas yg ada ini..\nKrn sdh bagus dan Tipe permainan nya..\nSdh sekelas..Eropa\nMhn di Jaga Performa nya\nBiar jgn kendur...\nMelihat permainan tadi mlm...\nMinim kesalahan \nOver bola antar pemain\nSdh Baik....\nAgar di jaga .;JohnpiterT;;Puas
Final sepakbola yang penuh drama.\n\nTapi memang pada babak kedua performa timnas garuda menurun.\n\nHarapannya tentu saja timnas garuda bisa mempersembahkan medali emas.\n\n#SEAGames2023 \n#SEAGames32;MohArifWidarto;;Puas
@iIhamzada Permainannya bagus banget, semoga kalo udah main di timnas senior bisa lebih bagus lagi karena biasanya performa menurun ketika umur di atas 24, padahal kalo di negara top global itu usia emasnya pemain, semoga nggak keblinger dan bisa upgrade pencapaian;halimfuadi;;Puas
'Skuad Garuda Nusantara Tak Terkalahkan' 🔥\n\nTimnas Indonesia U-22 berhasil meraih medali emas di ajang Sea Games untuk pertama kalinya, sejak 32 tahun yang lalu.\n\nMeski demikian, menurut lo, apa yang harus diperhatikan untuk tetap menjaga performa timnas di kemudian hari? 🤔 https://t.co/vQfgE0yb2q;registaco;;Puas
Kunci kemenangan malam ini terletak pada  mengendalikan emosi dengan bijak. Ketika mampu menjaga ketenangan dalam tekanan, fokus semakin meningkat, dan performa Timnas mencapai level terbaik. Glory Indonesia, More to come!🏆 @PSSI;bynoegroho;;Puas
Racikan Coach Indra Sjafri pada Timnas terbukti dengan Raihan medali emas🏅. Performa Timnas di Sea Games 2023 ini sangat baik dengan support dan fokus dari Ketum PSSI Erick Thohir. Selamat Timnas Indonesia kalian buktikan mental PEMENANG.\n\n#GueBarengErickThohir\n#TimnasDapatEmas https://t.co/34YqStGSIT;reina_galagher;;Puas
@WKamase13 @Gaotronaldo32 @adyul93 @garagarabola_ Gak ada STY pun mereka pasti dilirik IS karena emang performa mereka diatas rata2.. Liat aja Egi, witan, asnawi, evan dimas produk IS yang sempat dipake di timnas senior yg emang karena pantas;SiomayCapKuda;;Puas
timnas kalo udah unggul langsung ngedrop gitu performa nya;yusufmaulanaaap;;Tidak Puas
Timnas Sepak Bola Indonesia U-22 telah menampilkan performa yang luar biasa pada pertandingan semifinal melawan Timnas Kamboja di Olympic Stadium. Bangkitkan Mental Juara #NyaliTimnas https://t.co/8K7uEX5agI;oki_aisyah;;Puas
Puji Performa 3 Pemain PSIS di Timnas Indonesia SEA Games, CEO: Mengejutkan https://t.co/emJVxIxEna;detik_jateng;;Puas
Publik Vietnam lewat salah satu media lokalnya menyoroti performa Timnas U-22 Indonesia, mengulik apa yang menjadi penyebab skuad Garuda seberbahaya ini. Trengginasnya Marselino Ferdinan cs diklaim tak lepas dari kegagalan tampil di Piala Dunia U-20 2023.\nhttps://t.co/5rxiWHzGbb;tribunSUPERBALL;;Puas
Publik Vietnam lewat salah satu media lokalnya menyoroti performa Timnas U-22 Indonesia, mengulik apa yang menjadi penyebab skuad Garuda seberbahaya ini. Trengginasnya Marselino Ferdinan cs diklaim tak lepas dari kegagalan tampil di Piala Dunia U-20 2023.\nhttps://t.co/db8KSP1B1S;BolaSportcom;;Puas
Performa Timnas Indonesia U-22 dianggap cukup apik oleh media Vietnam, Soha, sepanjang babak penyisihan grup sampai semifinal.\n\nSecara total, Indonesia baru kebobolan tiga kali. Statistik yang tidak kalah trengginas jika dibandingkan perjalanan Thailand.;indosportdotcom;;Puas
Dengan semangat Timnas Indonesia mampu menunjukkan performa luar biasa,Kemenangan melawan Vietnam adalah bukti nyata bahwa Erick Thohir mampu Bangkitkan Mental Juara dan #NyaliTimnas  Indonesia\nhttps://t.co/1cVJ6LHNrU;slybery;;Puas
@sy9gfx4icq7_420 Semoga Timnas Garuda tetap konsisten dalam performa nya;EgGb1nthj1wgr;;Puas
Keberhasilan awal kepemimpinan Erick Thohir di PSSI terlihat dari grafik performa dan ranking timnas yang terus naik.\n#GueBarengErickThohir https://t.co/5bU3PfB5RZ;CapingCak;;Puas
Berikut perbandingan statistik performa timnas Indonesia pada babak grup Sea Games 2023 asuhan Indra Sjafri dan babak grup Sea Games 2021 asuhan Shin Tae Yong. Indra Sjafri memiliki catatan yang lebih apik pada semua statistik ini. https://t.co/PrFMMntmcU;lapangbolastats;;Puas
"Performa Rio Fahmi &amp; Bagas Kaffa yang tak meyakinkan membuat Indra Sjafri bisa terpaksa mendorong Fajar Fathurrahman ke belakang. Timnas U-22 Indonesia kini bakal menghadapi Vietnam di semifinal SEA Games 2023, Sabtu (13/5/2023). 🇮🇩🇻🇳\nhttps://t.co/41eair0i6r";tribunSUPERBALL;;Tidak Puas
Timna Indonesia U-22 melaju ke final SEA Games 2023 Kamboja mengalahkan Vietnam.\nSkuad racikan Indra Sjafri menang dramatis 3-2.\nMeningkatnya performa Timnas Indonesia tak terlepas dari sosok @erickthohir yg terus memompa semangat punggawa Garuda Muda.\n\n#GueBarengErickThohir https://t.co/KUGlgdH9vM;Djantjik;;Puas
liat timnas main, syok dewa dimainin lagi tapi emang bagus si, arhan sekarang gw tau lu knp ga dimainin di jepang, marselino emng masi bocah tapi udh oke mainnya, witan performa nya turun, ernando arii lu keren bangettt;_xxx_9_;;Puas
Ironisnya lagi yg suka bully itu netijen yg cuma nonton Timnas tapi gak nonton Liga Indonesia dan bully pemain cuma berdasarkan performa di Timnas tapi gak liat performa di level klub chuaaakkkss;rivalpr_;;Puas
"coach, ngeliat timnas udah main di level Piala Asia ini pun cukup membanggakan. gue pribadi gak nuntut banyak, cuma berharap para pemain bisa menampilkan performa terbaiknya sehingga enak ditonton. kalau lolos fase group Alhamdulillah. SEMANGAT STY &amp; TEAM 🔥";AMA7ERASUK;;Puas
"Indra Sjafri menemukan susunan pemain terbaik timnas U-22 Indonesia untuk laga semifinal usai merampungkan fase grup Sea Games 2023. Ia berharap para pemain terbaiknya bisa menunjukan performa maksimal demi melaju ke final &amp; meraih medali emas. 🇮🇩🦅⚽\nhttps://t.co/Uw0zEmXcDk";BolaSportcom;;Puas
"Indra Sjafri menemukan susunan pemain terbaik timnas U-22 Indonesia untuk laga semifinal usai merampungkan fase grup Sea Games 2023. Ia berharap para pemain terbaiknya bisa menunjukan performa maksimal demi melaju ke final &amp; meraih medali emas. 🇮🇩🦅⚽\nhttps://t.co/VC6rNO3IQV";tribunSUPERBALL;;Puas
Intinya begini.\nKalau mau lolos, ya performa pemain bergantung pada kompetisi domestiknya, kalau Liganya kacau, ya pasti di Timnas makin kacau 😁\nhttps://t.co/9yfC9eBu9r;MuhammadMumu113;;Puas
